ID,HS_ENGLISH,HS_MATH,HS_HISTORY,HS_LAB_SCIENCES,HS_FOREIGN_LANGUAGE,HS_ART,HS_ELECTIVES,HS_GPA,sex,WRITINGScore,GraduateONTime,Major
325,8,8,12,6,4,6,0,4.126683139,0,499,0,MKTG
326,8,6,6,6,6,8,1,3.327172292,0,549,0,MGMT
327,8,12,8,8,4,6,0,4.209473433,1,504,0,I S
328,8,6,5,8,6,8,1,2.952989306,1,519,0,MGMT
329,8,10,5,10,6,4,0,2.802531869,0,667,1,MKTG
330,8,8,8,8,6,2,0,3.774484823,0,490,1,MGMT
331,8,6,6,6,4,6,0,3.797736257,0,511,0,FIN
332,8,8,8,4,4,6,0,3.916477075,1,436,1,FIN
333,8,8,6,10,4,4,1,3.911207806,0,393,0,MGMT
334,8,6,5,4,4,3,1,2.399951621,0,384,0,MGMT
335,8,8,6,4,6,2,0,3.006645105,0,531,0,MGMT
336,8,12,6,8,6,8,2,3.379207466,0,652,1,MGMT
337,8,8,6,4,6,2,0,3.217893783,0,452,0,FIN
338,8,8,6,6,6,8,0,2.946065921,0,485,0,FIN
339,8,6,6,6,6,2,1,3.723330353,1,390,1,MGMT
340,8,10,5,6,6,10,0,3.407757712,1,668,0,I S
341,8,8,7,5,7,2,2,3.327498393,1,429,0,I S
342,8,10,6,8,8,2,2,2.870120639,0,541,0,MGMT
343,8,8,6,8,8,4,0,2.559670783,0,524,0,MKTG
344,8,8,4,8,6,2,2,3.120451116,0,465,0,MGMT
345,8,6,7,6,5,6,1,3.187833969,0,430,0,MGMT
346,8,8,6,6,8,3,0,3.748310656,1,507,0,MGMT
347,8,8,6,6,6,14,8,4.269328983,0,530,1,MGMT
348,8,10,8,6,6,4,0,4.145713482,0,465,1,MGMT
349,8,10,5,6,6,4,1,3.415449873,0,630,0,MKTG
350,8,10,6,8,8,5,0,3.67160506,0,662,1,ACCT
351,8,8,6,8,8,2,2,3.686631034,0,541,1,FIN
352,8,8,5,6,4,6,1,3.822702392,0,476,0,MGMT
353,8,8,5,8,4,2,1,3.339272167,1,463,1,MKTG
354,8,10,6,4,4,2,0,3.594106429,0,460,0,MKTG
355,8,10,6,6,4,2,2,3.220647348,0,447,1,ACCT
356,8,9,6,6,10,2,2,3.747868005,0,472,1,FIN
357,8,6,8,7,6,6,2,3.411645119,0,574,0,MKTG
358,8,8,7,8,4,4,0,3.293708124,1,429,0,MKTG
359,8,6,6,7,4,2,6,2.986268801,1,560,0,MKTG
360,8,6,6,6,4,6,0,4.463941555,1,586,1,FIN
361,8,10,6,6,10,2,2,3.813026802,0,539,0,ACCT
362,8,6,6,8,4,4,4,3.092519112,1,496,0,MKTG
363,8,8,6,5,6,8,0,3.426524789,0,677,0,MKTG
364,8,10,6,6,6,2,1,3.136681159,0,515,1,ACCT
365,8,6,6,4,8,2,3,3.21794583,0,471,0,MGMT
366,8,6,5,6,4,6,1,2.834890282,0,311,0,FIN
367,8,10,7,6,6,2,2,3.099772178,1,583,0,MGMT
368,9,9,8,4,4,2,0,3.329500623,0,418,0,MKTG
369,8,8,5,8,8,2,5,2.610924817,0,557,1,ACCT
370,8,8,6,8,8,2,0,3.243501589,0,608,0,MKTG
371,8,6,6,5,5,2,2,3.711142218,1,447,0,ACCT
372,8,10,6,7,6,2,2,3.891075192,0,467,0,MKTG
373,8,8,4,4,6,2,1,3.259686365,1,419,0,MGMT
374,8,10,5,8,6,2,3,3.904825418,1,543,1,I S
375,8,10,6,6,6,2,0,3.552826744,1,475,0,FIN
376,8,8,6,6,5,2,2,2.766890231,0,453,0,MKTG
377,8,10,7,8,8,5,2,3.450485546,0,519,0,ACCT
378,8,6,6,8,6,3,2,3.059601332,1,493,1,MKTG
379,8,8,6,6,8,2,0,3.02173795,0,690,0,MGMT
380,8,9,6,8,8,2,2,3.657897928,0,420,0,MGMT
381,8,8,6,6,8,2,1,2.953255812,0,409,0,MGMT
382,8,12,6,7,8,3,0,3.345988805,0,512,0,ACCT
383,8,6,6,4,6,5,2,3.168781712,0,431,0,ACCT
384,8,7,6,8,6,4,2,2.875855117,1,458,1,FIN
385,8,8,8,8,4,10,0,4.393436813,0,525,1,ACCT
386,8,8,6,8,8,6,0,4.074492278,0,484,0,FIN
387,8,10,6,6,6,4,4,3.536277151,1,498,0,MGMT
388,8,8,6,6,6,4,0,3.389216018,1,497,1,MKTG
389,8,8,6,8,6,2,0,4.215668517,0,469,0,ACCT
390,8,9,5,8,6,2,1,3.717081194,1,488,0,MGMT
391,8,10,6,8,7,2,3,4.199506606,0,501,1,FIN
392,8,8,6,8,6,2,0,3.920475335,0,549,0,MGMT
393,7,8,5,6,4,2,0,3.144676894,0,555,0,ACCT
394,8,10,6,6,8,14,0,3.31542427,1,513,1,FIN
395,8,10,6,6,8,5,0,3.199343912,0,515,0,MGMT
396,8,10,7,6,6,2,1,3.78496606,0,508,0,MGMT
397,8,6,6,6,6,6,2,3.512768519,0,507,0,MKTG
398,8,7,6,5,8,2,1,3.271099711,0,429,0,MGMT
399,8,10,6,6,4,2,0,4.464592099,0,478,1,MGMT
400,8,6,6,8,6,2,4,2.507791544,1,454,0,FIN
401,8,10,8,8,6,2,0,3.230324764,1,555,1,MKTG
402,8,6,5,6,8,4,2,3.42573669,1,405,0,MKTG
403,8,6,8,5,4,2,0,2.782270295,1,333,0,MGMT
404,8,7,6,4,6,2,0,3.466487504,1,481,0,FIN
405,8,8,5,6,4,2,4,3.60349708,0,447,0,MKTG
406,8,6,5,8,4,3,2,4.246736589,0,495,0,ACCT
407,8,8,5,8,8,2,2,3.294521065,1,467,0,MGMT
408,8,10,6,4,4,12,2,3.51997489,0,736,0,MKTG
409,8,10,6,6,6,8,1,3.784924959,0,626,0,ACCT
410,8,8,6,6,8,2,2,2.678252631,1,443,0,MGMT
411,8,8,6,8,8,4,0,3.67409185,1,502,0,ACCT
412,12,9,6,6,4,2,2,2.673513395,1,448,0,FIN
413,8,10,8,8,6,3,0,4.290823105,0,551,0,MKTG
414,8,8,6,7,5,5,0,2.777994432,1,546,0,FIN
415,8,8,6,8,6,3,0,3.467134943,1,471,0,ACCT
